"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","Create exercise","LMS service","Sun May 24 12:38:19 UTC 2026","passed","Sun May 24 12:38:19 UTC 2026","Create entity","Exercises","",""
"","530","Create user","LMS service","Sun May 24 12:38:24 UTC 2026","passed","Sun May 24 12:38:25 UTC 2026","Create entity","Users","",""
"","277","Get exercise","LMS service","Sun May 24 12:38:19 UTC 2026","passed","Sun May 24 12:38:20 UTC 2026","Get entity","Exercises","",""
"","272","Create user","LMS service","Sun May 24 12:38:24 UTC 2026","passed","Sun May 24 12:38:25 UTC 2026","Create entity","Users","",""
"","255","Create file with empty directory","LMS service","Sun May 24 12:38:23 UTC 2026","passed","Sun May 24 12:38:23 UTC 2026","Validate entity","Files","",""
"","527","Login with correct email and password","LMS service","Sun May 24 12:38:16 UTC 2026","passed","Sun May 24 12:38:16 UTC 2026","Login","Authentication","",""
"","24","Delete file","LMS service","Sun May 24 12:38:24 UTC 2026","passed","Sun May 24 12:38:24 UTC 2026","Delete entity","Files","",""
"","247","Get file with incorrect file id","LMS service","Sun May 24 12:38:24 UTC 2026","passed","Sun May 24 12:38:24 UTC 2026","Validate entity","Files","",""
"","20","Update exercise","LMS service","Sun May 24 12:38:19 UTC 2026","passed","Sun May 24 12:38:19 UTC 2026","Update entity","Exercises","",""
"","290","Update course","LMS service","Sun May 24 12:38:17 UTC 2026","passed","Sun May 24 12:38:17 UTC 2026","Update entity","Courses","",""
"","251","Create file with empty filename","LMS service","Sun May 24 12:38:22 UTC 2026","passed","Sun May 24 12:38:23 UTC 2026","Validate entity","Files","",""
"","12","Get user me","LMS service","Sun May 24 12:38:25 UTC 2026","passed","Sun May 24 12:38:25 UTC 2026","Get entity","Users","",""
"","13","Get file","LMS service","Sun May 24 12:38:22 UTC 2026","passed","Sun May 24 12:38:22 UTC 2026","Get entity","Files","",""
"","22","Delete exercise","LMS service","Sun May 24 12:38:21 UTC 2026","passed","Sun May 24 12:38:21 UTC 2026","Delete entity","Exercises","",""
"","256","Create file","LMS service","Sun May 24 12:38:21 UTC 2026","passed","Sun May 24 12:38:21 UTC 2026","Create entity","Files","",""
"","28","Create course","LMS service","Sun May 24 12:38:18 UTC 2026","passed","Sun May 24 12:38:18 UTC 2026","Create entity","Courses","",""
"","280","Get courses","LMS service","Sun May 24 12:38:17 UTC 2026","passed","Sun May 24 12:38:17 UTC 2026","Get entities","Courses","",""
"","519","Create user","LMS service","Sun May 24 12:38:24 UTC 2026","passed","Sun May 24 12:38:24 UTC 2026","Create entity","Users","",""
"","274","Get exercises","LMS service","Sun May 24 12:38:21 UTC 2026","passed","Sun May 24 12:38:21 UTC 2026","Get entities","Exercises","",""
